29.12.2014,15,Vegetablesg
29.12.2014,110,Meatg
30.12.2014,130,"EFood, EDrinks"
30.12.2014,32,Bowling
31.12.2014,64,Sweet
31.12.2014,31,Vegetablesg
31.12.2014,40,Fruitg
31.12.2014,50,Milkg
31.12.2014,6,Drinksg
31.12.2014,25,Meatg
31.12.2014,8,Spice
31.12.2014,7,Chemicals
31.12.2014,12,Fish
31.12.2014,15,Eggs
